Removed Pin From Net: NetName=GND Pin=C6-1
Removed Pin From Net: NetName=GND Pin=C7-1
Removed Pin From Net: NetName=GND Pin=C8-1
Removed Pin From Net: NetName=5V Pin=C15-1
Removed Pin From Net: NetName=GND Pin=C15-2
Removed Pin From Net: NetName=5V Pin=C16-1
Removed Pin From Net: NetName=GND Pin=C16-2
Removed Pin From Net: NetName=5V Pin=C20-1
Removed Pin From Net: NetName=GND Pin=C20-2
Removed Pin From Net: NetName=GND Pin=C21-1
Removed Pin From Net: NetName=5V Pin=C21-2
Removed Pin From Net: NetName=GND Pin=D3-1
Removed Pin From Net: NetName=GND Pin=D6-1
Removed Pin From Net: NetName=24V Pin=F1-1
Removed Pin From Net: NetName=5V Pin=L1-1
Removed Pin From Net: NetName=GND Pin=R8-1
Removed Pin From Net: NetName=5V Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U3-6
Removed Pin From Net: NetName=GND Pin=U3-9
Removed Member From Class: ClassName=Main Member=C6
Removed Member From Class: ClassName=Main Member=C7
Removed Member From Class: ClassName=Main Member=C8
Removed Member From Class: ClassName=Main Member=C11
Removed Member From Class: ClassName=Main Member=C15
Removed Member From Class: ClassName=Main Member=C16
Removed Member From Class: ClassName=Main Member=C20
Removed Member From Class: ClassName=Main Member=C21
Removed Member From Class: ClassName=Main Member=D3
Removed Member From Class: ClassName=Main Member=D6
Removed Member From Class: ClassName=Main Member=F1
Removed Member From Class: ClassName=Main Member=L1
Removed Member From Class: ClassName=Main Member=R7
Removed Member From Class: ClassName=Main Member=R8
Removed Member From Class: ClassName=Main Member=U3
Change Component Footprint: Designator=C5 Old Footprint=CAP ALSMD 8.3MM H10.5MM New Footprint=CAP_EEHZA1V470P
Change Component Footprint: Designator=X3 Old Footprint=TE 282834-2 New Footprint=MOLEX KK 0022272021
Change Component Footprint: Designator=X4 Old Footprint=TE 282834-2 New Footprint=MOLEX KK 0022272021
Change Component Footprint: Designator=X6 Old Footprint=TE 282834-2 New Footprint=MOLEX KK 0022272021
Change Component Comment : Designator=C5 Old Comment=47µF New Comment=EEHZA1V470P
Change Component Comment : Designator=X3 Old Comment=282834-2 New Comment=0022272021
Change Component Comment : Designator=X4 Old Comment=282834-2 New Comment=0022272021
Change Component Comment : Designator=X6 Old Comment=282834-2 New Comment=0022272021
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP ALSMD 8.3MM H10.5MM"; UniqueID = "\DIVFZWFI" ("\DIVFZWFI")
Add component (AddParameter): Name = "Value"; Value = "10µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP_EEHZA1V470P)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Panasonic Electronic'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EEHZA1V470P"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "47 uF 35V"; VariantName = "[No Variations]"
Added Component: Designator=D?(DO214AA SMB)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.onsemi.com/pub/Collateral/SS29-D.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/on-semiconductor/SS26/SS26FSCT-ND/965731"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "2A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "400µA @ 60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "21.05.2023 20:09:05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature - Junction"; Value = "-65°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "DO-214AA, SMB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "SS26"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "1378"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.09"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Speed"; Value = "Fast Recovery =< 500ns, > 200mA (Io)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "DO-214AA (SMB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "SS26FSCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "60V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "700mV @ 2A"; VariantName = "[No Variations]"
Added Component: Designator=L?(IND_CDRH127/LDNP-470MC_SUM)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/CDRH127/LDNP-470MC/Sumida+America+Components+Inc./view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Sumida America"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "CDRH127/LDNP-470MC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "Nonstandard Sumida"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/CDRH127/LDNP-470MC/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/CDRH127/LDNP-470MC/Sumida+America+Components+Inc./view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U?(KTT0005B)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "LM2596SX-5.0/NOPB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/lm2596sx-5.0nopb/texas-instruments?region=nac"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "http://www.ti.com/lit/gpn/lm2596"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "LM2596SX-5.0/NOPB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "926-LM2596SX-5.0NOPB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2596SX-5.0-NOPB?qs=X1J7HmVL2ZGZ5T4VcWdmNw%3D%3D"; VariantName = "[No Variations]"
Added Pin To Net: NetName=24V Pin=C5-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=24V Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-2
Added Pin To Net: NetName=24V Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=D?-1
Added Pin To Net: NetName=5V Pin=L?-1
Added Pin To Net: NetName=24V Pin=U?-1
Added Pin To Net: NetName=GND Pin=U?-3
Added Pin To Net: NetName=5V Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-5
Added Pin To Net: NetName=GND Pin=U?-6
Change Net Name : Old Net Name=24V New Net Name=VIN
Added Pin To Net: NetName=NetD?_2 Pin=D?-2
Added Pin To Net: NetName=NetD?_2 Pin=L?-2
Added Pin To Net: NetName=NetD?_2 Pin=U?-2
Added Net: Name=NetD?_2
Add Differential Pair: Number of nets in differential pair D1O is 1 instead of 2
Add Differential Pair: Number of nets in differential pair R1I is 1 instead of 2
Add Differential Pair: Number of nets in differential pair UART1_RX is 1 instead of 2
Add Differential Pair: Number of nets in differential pair UART1_TX is 1 instead of 2
Add Differential Pair: Number of nets in differential pair UART2_RX is 1 instead of 2
Add Differential Pair: Number of nets in differential pair UART2_TX is 1 instead of 2
Add Differential Pair: Number of nets in differential pair UART6_RX is 1 instead of 2
Add Differential Pair: Number of nets in differential pair UART6_TX is 1 instead of 2
Added Member To Class: ClassName=Main Member=Component C? 293D227X9010E2TE3
Added Member To Class: ClassName=Main Member=Component C? 10µF
Added Member To Class: ClassName=Main Member=Component C? 0.47µF
Added Member To Class: ClassName=Main Member=Component C? 4.7µF
Added Member To Class: ClassName=Main Member=Component C? 4.7µF
Added Member To Class: ClassName=Main Member=Component C? 10µF
Added Member To Class: ClassName=Main Member=Component C? EEHZA1V470P
Added Member To Class: ClassName=Main Member=Component D? SS26
Added Member To Class: ClassName=Main Member=Component L? CDRH127/LDNP-820MC
Added Member To Class: ClassName=Main Member=Component U? LM2596SX-5.0_NOPB
Added Room: Name=Main
